Volatility 3 Framework 2.7.0

Offset	Name	Size
0x8be7178	\Windows\System32\dimsjob.dll	128
0x8df0f80	\Windows\System32\dot3api.dll	128
0x8f37d98	\Users\JOHNDO~1\AppData\Local\Temp\~DFA63F59B0C681C479.TMP	128
0x91bc1e8	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010006.ci	128
0x9266ed8	\Windows\System32\en-US\KernelBase.dll.mui	128
0x9828938	\Users\John Doe\AppData\Roaming\LibreOffice\3\user\uno_packages\cache\uno_packages.db	128
0x98289f0	\Windows\System32\en-US\wmploc.DLL.mui	128
0x9a25980	\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx	128
0x9a25a38	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx	128
0x9a7d6a8	\Windows\System32\wups2.dll	128
0x9a7da10	\Windows\System32\aepic.dll	128
0x9a7dac8	\Windows\System32\TPVMW32.dll	128
0x9df6df0	\Program Files\LibreOffice 3.6\program\python-core-2.6.1\lib\_socket.pyd	128
0xa47f4b8	\Windows\System32\npmproxy.dll	128
0xaec2178	\Windows\System32\dimsjob.dll	128
0xb4e60f8	\Windows\System32\fundisc.dll	128
0xb4e61d8	\Windows\System32\EAPQEC.DLL	128
0xb4e6860	\Windows\System32\mfc42u.dll	128
0xb4e6d10	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0xb8b6cd0	\Users\John Doe\AppData\Roaming\Microsoft\Credentials	128
0xbb2f600	\Program Files\LibreOffice 3.6\program\types\oovbaapi.rdb	128
0xbc38f80	\Endpoint	128
0xbdf83a8	\Windows\System32\SensorsCpl.dll	128
0xbebc320	\Windows\System32\comres.dll	128
0xbebc710	\Endpoint	128
0xbebc970	\Winsock2\CatalogChangeListener-230-0	128
0xc0f2038	\Windows\System32\perftrack.dll	128
0xc1053a8	\Windows\System32\SensorsCpl.dll	128
0xc30c738	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0xc30c7f0	\Windows\Fonts\cga40woa.fon	128
0xc30cb58	\Windows\Fonts\ega40woa.fon	128
0xc5fb6b8	\Windows\System32\mstsc.exe	128
0xc5fbab8	\Users\John Doe\AppData\Roaming\Microsoft\Windows\Network Shortcuts	128
0xc6be038	\Windows\System32\clb.dll	128
0xc93c038	\Windows\System32\QAGENTRT.DLL	128
0xc93c748	\Windows\System32\mspaint.exe	128
0xc9b78f8	\Windows\System32\KMSVC.DLL	128
0xc9b7ba0	\Windows\System32\mssph.dll	128
0xd50c038	\Windows\System32\clb.dll	128
0xd5d4980	\Windows\System32\winevt\Logs\Microsoft-Windows-NCSI%4Operational.evtx	128
0xd5d4a38	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx	128
0xe1a66c0	\Program Files\LibreOffice 3.6\program\uuilo.dll	128
0xe5f3130	\Windows\System32\wmploc.DLL	128
0xe5f3290	\Windows\System32\PeerDistSvc.dll	128
0xe5f3560	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0xe5f3838	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0xe5f3e20	\Windows\System32\httpapi.dll	128
0x10f0a130	\Windows\System32\wmploc.DLL	128
0x10f0a290	\Windows\System32\PeerDistSvc.dll	128
0x10f0a560	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x10f0a838	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x10f0ae20	\Windows\System32\httpapi.dll	128
0x1217e6c0	\Windows\System32\framedyn.dll	128
0x1217ebd0	\Program Files\LibreOffice 3.6\program\types\oovbaapi.rdb	128
0x13bbb038	\Windows\System32\clb.dll	128
0x184d1668	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x184d1d70	\Windows\System32\cdd.dll	128
0x1b6ce038	\Windows\System32\dfscli.dll	128
0x1b6ce9f8	\Windows\System32\actxprxy.dll	128
0x1ba9e038	\Windows\System32\msinfo32.exe	128
0x1ba9eba0	\Windows\System32\DHCPQEC.DLL	128
0x1bec7440	\Windows\System32\en-US\shlwapi.dll.mui	128
0x1bec7d20	\Windows\System32\wlms	128
0x1bf44c18	\Windows\System32\srvsvc.dll	128
0x1bf86f80	\Windows\System32\browser.dll	128
0x1c1c3460	\srvsvc	128
0x1c2425d0	\srvsvc	128
0x1d602cc0	\Program Files\LibreOffice 3.6\share\config\images_tango.zip	128
0x1d606258	\Windows\System32\calc.exe	128
0x1d606798	\Windows\Fonts\times.ttf	128
0x1d607540	\Windows\System32\TPVMMon.dll	128
0x1d607a00	\$Directory	128
0x1d607c30	\Windows\System32\PlaySndSrv.dll	128
0x1d6194f8	\Windows\System32\inetcomm.dll	128
0x1d619d30	\Windows\System32\d3d10_1.dll	128
0x1d635038	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d635a68	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x1d64c290	\Windows\System32\catroot2\edb.log	128
0x1d64c520	\Windows\System32\en-US\KernelBase.dll.mui	128
0x1d67c8b8	\Windows\System32\perfos.dll	128
0x1d67cba8	\ProgramData\Microsoft\Windows Defender\IMpService925A3ACA-C353-458A-AC8D-A7E5EB378092.lock	128
0x1d689b40	\Windows\System32\en-US\sysmain.dll.mui	128
0x1d69ee70	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d6ae2a8	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx	128
0x1d6ae498	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\ntexe.cat	128
0x1d6ba2d0	\Windows\System32\bitsperf.dll	128
0x1d6ba468	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid	128
0x1d6bac10	\Windows\System32\msiltcfg.dll	128
0x1d6cbeb8	\Windows\winsxs\Manifests\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.7600.16385_en-us_581cd2bf5825dde9.manifest	128
0x1d6d4038	\Endpoint	128
0x1d6eed38	\Endpoint	128
0x1d6f0990	\Winsock2\CatalogChangeListener-3a0-0	128
0x1d6f3868	\Windows\System32\imageres.dll	128
0x1d6f79c0	\Program Files\AVAST Software\Avast\snxhk.dll	128
0x1d6f95a0	\$Directory	128
0x1d6f9658	\Windows\System32\spoolsv.exe	128
0x1d6f9710	\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx	128
0x1d6fa860	\$Directory	128
0x1d6faae0	\Windows\System32\ReAgent.dll	128
0x1d6fb1f8	\Windows\System32	128
0x1d6fbac0	\$Directory	128
0x1d6fc5a0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x1d6fc658	\Users\Public\Documents	128
0x1d6fcaa0	\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000003.db	128
0x1d6fce20	\Windows\System32	128
0x1d6fdc40	\Windows\System32\StructuredQuery.dll	128
0x1d6ff720	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d70e038	\Endpoint	128
0x1d70f038	\Windows\System32\WFSR.dll	128
0x1d70f730	\Users\John Doe\AppData\Roaming\Microsoft\Windows\Cookies\index.dat	128
0x1d7104b8	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d710a68	\Windows\System32\mblctr.exe	128
0x1d711578	\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows DVD Maker.lnk	128
0x1d713400	\Windows\System32\unregmp2.exe	128
0x1d715b40	\Windows\System32\BFE.DLL	128
0x1d715bf8	\Windows\System32\mspatcha.dll	128
0x1d716798	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d718dd8	\Windows\System32\nlasvc.dll	128
0x1d71a178	\$Directory	128
0x1d71af80	\Windows\System32\miguiresource.dll	128
0x1d720588	\Endpoint	128
0x1d720728	\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\WindowsUpdate.log	128
0x1d720d00	\Windows\System32\cabinet.dll	128
0x1d721038	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Sticky Notes.lnk	128
0x1d722508	\Windows\System32\inetcpl.cpl	128
0x1d722e08	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\System Information.lnk	128
0x1d723038	\$Directory	128
0x1d729390	\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My	128
0x1d729ba0	\Program Files\Windows Defender\MpRTP.dll	128
0x1d72b038	\Windows\System32\MPSSVC.dll	128
0x1d72b540	\Windows\System32\Display.dll	128
0x1d72bd28	\$Directory	128
0x1d72c268	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Desktop.ini	128
0x1d72cf80	\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000001.db	128
0x1d72d6c0	\Users\John Doe\AppData\Roaming\Microsoft\SystemCertificates\My	128
0x1d72d948	\$Directory	128
0x1d72dcd0	\Windows\System32\wups.dll	128
0x1d72f968	\$PrepareToShrinkFileSize	128
0x1d72fa20	\Users\John Doe\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Run.lnk	128
0x1d7301d0	\Windows\System32\AuthFWGP.dll	128
0x1d7302a8	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d732128	\Windows\System32\IKEEXT.DLL	128
0x1d732828	\Windows\System32\rstrui.exe	128
0x1d733710	\Windows\System32\winbio.dll	128
0x1d7337c8	\Windows\System32\cryptnet.dll	128
0x1d734b58	\keysvc	128
0x1d734c10	\Users\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat	128
0x1d734d70	\keysvc	128
0x1d735938	\keysvc	128
0x1d735bb0	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x1d736b40	\Windows\System32\aeevts.dll	128
0x1d736f80	\Windows\System32\wiarpc.dll	128
0x1d737940	\Users\JOHNDO~1\AppData\Local\Temp\~DF58AB08AA5E8C2C2E.TMP	128
0x1d737f80	\Users\John Doe\AppData\Local\Microsoft\Feeds\{5588ACFD-6436-411B-A5CE-666AE6A92D3D}~\WebSlices~\Suggested Sites~.feed-ms	128
0x1d7381a0	\Windows\System32\keyiso.dll	128
0x1d7387f8	\Users\John Doe\AppData\Local\Microsoft\Feeds\FeedsStore.feedsdb-ms	128
0x1d7398b8	\Windows\System32\dps.dll	128
0x1d739ba0	\Windows\System32\vssapi.dll	128
0x1d73ace0	\$Directory	128
0x1d73bc10	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Windows Easy Transfer.lnk	128
0x1d73bd20	\Windows\System32\spool\drivers\w32x86\3\TPPrnUI.DLL	128
0x1d73bf18	\Windows\System32\ncsi.dll	128
0x1d73c280	\Endpoint	128
0x1d73cac8	\Windows\System32\EhStorAPI.dll	128
0x1d73d038	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d73db38	\Windows\System32\sppsvc.exe	128
0x1d73dc58	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d73e038	\Windows\System32\cryptsvc.dll	128
0x1d73e120	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Resource Monitor.lnk	128
0x1d73e908	\Windows\System32\appwiz.cpl	128
0x1d741668	\Windows\System32\fveapi.dll	128
0x1d743038	\Windows\System32\framedynos.dll	128
0x1d743e28	\Windows\System32\wdi.dll	128
0x1d748038	\$Directory	128
0x1d748d78	\Windows\System32\catroot	128
0x1d74b3b0	\Users\John Doe\AppData\Local\Microsoft\Windows\Temporary Internet Files\Low\Content.IE5\813BBCSN\fr_msn_com[3].htm	128
0x1d74b4e0	\Windows\System32\perfc009.dat	128
0x1d74c708	\$Directory	128
0x1d74d300	\wkssvc	128
0x1d74d3b8	\wkssvc	128
0x1d74d528	\wkssvc	128
0x1d74fe30	\Windows\System32\fvecerts.dll	128
0x1d750ec8	\Windows\System32\wfapigp.dll	128
0x1d750f80	\Windows\System32\tbs.dll	128
0x1d7552b8	\Windows\System32\pcasvc.dll	128
0x1d75a350	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d75ab40	\Windows\System32\TPSvc.dll	128
0x1d75ef80	\Windows\System32\vsstrace.dll	128
0x1d765260	\Windows\System32\ssdpapi.dll	128
0x1d766860	\Windows\System32	128
0x1d771250	\Windows\System32\wuaueng.dll	128
0x1d7719a0	\Windows\System32\provsvc.dll	128
0x1d771f80		128
0x1d772630	\$Directory	128
0x1d773a60	\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER	128
0x1d773b38	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d773df8	\Windows\System32\uDWM.dll	128
0x1d774210	\Windows\System32\BioCredProv.dll	128
0x1d775e70	\Windows\System32\rdpcorekmts.dll	128
0x1d779468	\Users\Public\Documents	128
0x1d779ac8	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d779e28	\Program Files\VMware\VMware Tools\intl.dll	128
0x1d77a220	\Windows\Resources\Ease of Access Themes\hcblack.theme	128
0x1d77a538	\Users\John Doe\AppData\Roaming\Microsoft\Windows\Network Shortcuts	128
0x1d77a950	\$Directory	128
0x1d77aa78	\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows Media Player NSS\3.0\Icon Files	128
0x1d77f970	\Users\JOHNDO~1\AppData\Local\Temp\imagedump	128
0x1d781448	\Windows\System32\en-US\KernelBase.dll.mui	128
0x1d783f80	\ProgramData\Microsoft\Windows\Start Menu\Programs\Sidebar.lnk	128
0x1d785f80	\Windows\System32\sysmain.dll	128
0x1d788038	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d788968	\Windows\System32\FirewallControlPanel.dll	128
0x1d78de78	\lsass	128
0x1d78ee50	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d7a7dd8	\Windows\System32\en-US\dnsapi.dll.mui	128
0x1d7a8170	\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx	128
0x1d7a8890	\Users\JOHNDO~1\AppData\Local\Temp\~DFDD5AB10AB7495357.TMP	128
0x1d7aa300	\Windows\System32\certcli.dll	128
0x1d7ab1f0	\Program Files\VMware\VMware Tools\iconv.dll	128
0x1d7ab528	\Program Files\VMware\VMware Tools\plugins\vmsvc\guestInfo.dll	128
0x1d7ab600	\Users\John Doe\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM.blf	128
0x1d7ad180	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x1d7ad728	\Windows\System32\qmgrprxy.dll	128
0x1d7ad8c0	\Windows\System32\wuapi.dll	128
0x1d7addf0	\$Directory	128
0x1d7b1038	\Program Files\LibreOffice 3.6\URE\bin\sal3.dll	128
0x1d7b1980		128
0x1d7b26f8	\Windows\System32	128
0x1d7b8778	\Program Files\VMware\VMware Tools\vmtoolsd.exe	128
0x1d7b89d8	\trkwks	128
0x1d7b8a90	\trkwks	128
0x1d7b8c68		128
0x1d7b8d20	\trkwks	128
0x1d7b93b0	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d7b9e10	\Windows\System32\lsmproxy.dll	128
0x1d7ba398	\Program Files\VMware\VMware Tools\vmtools.dll	128
0x1d7bae78	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d7bc038	\$Directory	128
0x1d7bc158	\Program Files\VMware\VMware Tools\gmodule-2.0.dll	128
0x1d7bc4d8	\Windows\System32\appinfo.dll	128
0x1d7bcec8		128
0x1d7be1b8	\Windows\System32\msident.dll	128
0x1d7bf7c0	搮瑡a	128
0x1d7c0638	\lsass	128
0x1d7c07c0	\Program Files\VMware\VMware Tools\gthread-2.0.dll	128
0x1d7c1038	\Windows\System32\SensApi.dll	128
0x1d7c2eb8	\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-0.C7483456-A289-439d-8115-601632D005A0	128
0x1d7c4660	\Windows\System32\sppobjs.dll	128
0x1d7c5558	\Program Files\VMware\VMware Tools\VMUpgradeHelper.exe	128
0x1d7c5f80	\Windows\System32\msftedit.dll	128
0x1d7c7e50	\Users\John Doe\ntuser.dat.LOG2	128
0x1d7c8150	\Windows\System32\7B296FB0-376B-497e-B012-9C450E1B7327-5P-1.C7483456-A289-439d-8115-601632D005A0	128
0x1d7d21a8	\Windows\System32\sppwinob.dll	128
0x1d7d2e00	\Windows\System32	128
0x1d7d6390	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d7d6ca0	\Windows\System32\rasplap.dll	128
0x1d7e40b8	\Windows\System32\nci.dll	128
0x1d7f0580	\$Directory	128
0x1d7f2248	\Windows\System32\hnetcfg.dll	128
0x1d7f4ac0	\Windows\System32\sqmapi.dll	128
0x1d7f4e58	\Windows\System32\netman.dll	128
0x1d7f9988	\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5	128
0x1d7fee78	\Windows\Fonts\vgaoem.fon	128
0x1d816960	\Endpoint	128
0x1d828260	\Endpoint	128
0x1d8284b8	\Endpoint	128
0x1d87b2e0	\Endpoint	128
0x1d87cd30	\Windows\System32\winhttp.dll	128
0x1d8a61c8	\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc	128
0x1d8a78e0	\Endpoint	128
0x1d8d09e0	\Endpoint	128
0x1d8d0e90	\Windows\System32\winspool.drv	128
0x1d8fa198	\$Directory	128
0x1d8fac80	\Windows\System32\apds.dll	128
0x1d8fad38	\Windows\System32\en-US\FXSRESM.dll.mui	128
0x1d8fbe68	\Endpoint	128
0x1d8ff4d8	\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb	128
0x1d903728	\Windows\System32\wer.dll	128
0x1d9037e0	\$Directory	128
0x1d9051e8	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d905a00	\Windows\Temp\_avast_\Webshlock.txt	128
0x1d905ab8	\Windows\AppPatch\sysmain.sdb	128
0x1d905b70	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\History\History.IE5\index.dat	128
0x1d905f38	\Program Files\LibreOffice 3.6\program\cairo.dll	128
0x1d906b10	\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\Windows\Cookies\index.dat	128
0x1d906d90	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat	128
0x1d911908	\Program Files\VMware\VMware Tools\plugins\vmsvc\resolutionSet.dll	128
0x1d9126d8	\Windows\System32\davclnt.dll	128
0x1d912be0		128
0x1d913120	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d9139f8	\Windows\System32\CertEnroll.dll	128
0x1d913ac8	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Desktop.ini	128
0x1d913f80	\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57	128
0x1d914130	\Windows\System32\oleaccrc.dll	128
0x1d914b78	\Program Files\LibreOffice 3.6\program\raptor.dll	128
0x1d914dd0	\Users\John Doe\AppData\Roaming\LibreOffice\3\user\extensions\bundled\extensions.db	128
0x1d914e88	\$Directory	128
0x1d91d038	\Windows\System32\en-US\cmd.exe.mui	128
0x1d91d318	\Windows\System32\thumbcache.dll	128
0x1d91f508	\Windows\System32\IconCodecService.dll	128
0x1d91f818	\Windows\System32\pstorec.dll	128
0x1d91fbf8	\Endpoint	128
0x1d91fed0	\Windows\System32\powercpl.dll	128
