Volatility 3 Framework 2.7.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created
0x1fd83ae0	UDPv4	127.0.0.1	1900	*	0		3352	svchost.exe	2013-01-12 16:40:59.000000 
0x1fd84008	TCPv4	127.0.0.1	12080	127.0.0.1	58797	ESTABLISHED	1220	AvastSvc.exe	-
0x1fd92378	TCPv4	127.0.0.1	58817	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fd977c8	TCPv4	192.168.1.66	58810	178.33.229.168	80	CLOSE_WAIT	1220	AvastSvc.exe	-
0x1fd9b580	TCPv4	127.0.0.1	58731	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fd9f838	TCPv4	127.0.0.1	58758	127.0.0.1	12080	ESTABLISHED	3044	iexplore.exe	-
0x1fda3df8	TCPv4	127.0.0.1	12080	127.0.0.1	58792	ESTABLISHED	1220	AvastSvc.exe	-
0x1fda7cd0	TCPv4	127.0.0.1	12080	127.0.0.1	58806	ESTABLISHED	1220	AvastSvc.exe	-
0x1fdaacc0	TCPv4	127.0.0.1	12080	127.0.0.1	58811	ESTABLISHED	1220	AvastSvc.exe	-
0x1fdaf540	TCPv4	127.0.0.1	12080	127.0.0.1	58727	ESTABLISHED	1220	AvastSvc.exe	-
0x1fdc5008	TCPv4	192.168.1.66	58782	157.55.15.45	80	ESTABLISHED	1220	AvastSvc.exe	-
