Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
336	560	wlms.exe	0x9541c7e0	4	45	0	False	2013-01-12 16:39:21.000000 	N/A	Disabled
448	560	VMUpgradeHelpe	0x8a1f5030	4	89	0	False	2013-01-12 16:39:21.000000 	N/A	Disabled
1612	560	TPAutoConnSvc.	0x9542a030	9	135	0	False	2013-01-12 16:39:23.000000 	N/A	Disabled
2352	560	taskhost.exe	0x87ac0620	8	149	1	False	2013-01-12 16:40:24.000000 	N/A	Disabled
2496	904	dwm.exe	0x87ad44d0	5	77	1	False	2013-01-12 16:40:25.000000 	N/A	Disabled
2548	2484	explorer.exe	0x87ac6030	24	766	1	False	2013-01-12 16:40:27.000000 	N/A	Disabled
2568	1612	TPAutoConnect.	0x87ae2880	5	146	1	False	2013-01-12 16:40:28.000000 	N/A	Disabled
2600	468	conhost.exe	0x87a9c288	1	35	1	False	2013-01-12 16:40:28.000000 	N/A	Disabled
2660	2548	VMwareTray.exe	0x87b82438	5	80	1	False	2013-01-12 16:40:29.000000 	N/A	Disabled
2676	2548	VMwareUser.exe	0x87aa9220	8	190	1	False	2013-01-12 16:40:30.000000 	N/A	Disabled
2720	2548	AvastUI.exe	0x87b784b0	14	220	1	False	2013-01-12 16:40:31.000000 	N/A	Disabled
2744	2548	StikyNot.exe	0x898fe8c0	8	135	1	False	2013-01-12 16:40:32.000000 	N/A	Disabled
2772	2548	iexplore.exe	0x87b6b030	2	74	1	False	2013-01-12 16:40:34.000000 	N/A	Disabled
2900	560	SearchIndexer.	0x898fbb18	13	636	0	False	2013-01-12 16:40:38.000000 	N/A	Disabled
3176	560	wmpnetwk.exe	0x87bd35b8	9	240	0	False	2013-01-12 16:40:48.000000 	N/A	Disabled
3352	560	svchost.exe	0x89f3d2c0	9	141	0	False	2013-01-12 16:40:58.000000 	N/A	Disabled
3452	2548	swriter.exe	0x87c6a2a0	1	19	1	False	2013-01-12 16:41:01.000000 	N/A	Disabled
3512	3452	soffice.exe	0x87ba4030	1	28	1	False	2013-01-12 16:41:03.000000 	N/A	Disabled
3556	3544	soffice.bin	0x95483d18	0	-	1	False	2013-01-12 16:41:05.000000 	2013-01-12 16:41:39.000000 	Disabled
3564	3512	soffice.bin	0x87b8ca58	12	400	1	False	2013-01-12 16:41:05.000000 	N/A	Disabled
3624	560	svchost.exe	0x89f1d3e8	14	348	0	False	2013-01-12 16:41:22.000000 	N/A	Disabled
1232	2548	taskmgr.exe	0x95495c18	6	116	1	False	2013-01-12 16:42:29.000000 	N/A	Disabled
3152	2548	cmd.exe	0x87bf7030	1	23	1	False	2013-01-12 16:44:50.000000 	N/A	Disabled
3228	468	conhost.exe	0x87c595b0	2	54	1	False	2013-01-12 16:44:50.000000 	N/A	Disabled
1616	2772	cmd.exe	0x89898030	2	101	1	False	2013-01-12 16:55:49.000000 	N/A	Disabled
2168	468	conhost.exe	0x954826b0	2	49	1	False	2013-01-12 16:55:50.000000 	N/A	Disabled
1136	2548	iexplore.exe	0x9549f678	18	454	1	False	2013-01-12 16:57:44.000000 	N/A	Disabled
3044	1136	iexplore.exe	0x87d4d338	37	937	1	False	2013-01-12 16:57:46.000000 	N/A	Disabled
1720	832	audiodg.exe	0x87c90d40	5	117	0	False	2013-01-12 16:58:11.000000 	N/A	Disabled
3144	3152	winpmem-1.3.1.	0x87cbfd40	1	23	1	False	2013-01-12 16:59:17.000000 	N/A	Disabled
